"date","open","close","high","low","volume","amount","amplitude_pct"
"2024-03-15","0.917","0.917","0.919","0.91","898157","89051801.559","0.98"
"2024-03-18","0.916","0.915","0.917","0.91","282375","27938947.297","0.76"
"2024-03-19","0.915","0.914","0.921","0.914","289258","28750628.652","0.77"
"2024-03-20","0.915","0.917","0.92","0.909","274066","27189267.774","1.2"
"2024-03-21","0.917","0.919","0.922","0.914","290870","28938611.701","0.87"
"2024-03-22","0.918","0.916","0.921","0.91","260234","25779616.661","1.2"
"2024-03-25","0.915","0.918","0.927","0.912","413349","41327628.454","1.64"
"2024-03-26","0.92","0.916","0.92","0.909","286837","28386676.581","1.2"
"2024-03-27","0.915","0.914","0.922","0.913","491391","48918194.014","0.98"
"2024-03-28","0.914","0.912","0.918","0.906","206317","20397522.946","1.31"
"2024-03-29","0.912","0.921","0.921","0.906","171642","17067174.004","1.64"
"2024-04-01","0.92","0.922","0.923","0.918","517880","51565984.115","0.54"
"2024-04-02","0.923","0.926","0.93","0.923","334234","33513930.126","0.76"
"2024-04-03","0.926","0.934","0.935","0.925","625105","62897084.015","1.08"
"2024-04-08","0.935","0.934","0.942","0.929","350257","35491652.531","1.39"
"2024-04-09","0.933","0.932","0.939","0.928","274522","27659279.546","1.18"
"2024-04-10","0.931","0.933","0.939","0.93","258467","26156957.92","0.97"
"2024-04-11","0.932","0.942","0.948","0.929","226966","23105868.368","2.04"
"2024-04-12","0.941","0.94","0.945","0.937","243695","24809948.446","0.85"
"2024-04-15","0.943","0.959","0.959","0.935","297880","30656408.542","2.55"
"2024-04-16","0.954","0.955","0.967","0.949","270179","27969370.706","1.88"
"2024-04-17","0.956","0.972","0.972","0.949","283903","29472512.597","2.41"
"2024-04-18","0.968","0.976","0.985","0.968","159134","16755372.797","1.75"
"2024-04-19","0.977","0.98","0.987","0.97","270420","28551158.521","1.74"
"2024-04-22","0.981","0.957","0.984","0.957","314771","32781182.702","2.76"
"2024-04-23","0.959","0.941","0.959","0.94","226286","23089563.581","1.99"
"2024-04-24","0.943","0.944","0.944","0.933","246799","25050668.292","1.17"
"2024-04-25","0.944","0.948","0.948","0.941","192561","19657834.3","0.74"
"2024-04-26","0.949","0.942","0.95","0.933","228244","23164105.488","1.79"
"2024-04-29","0.942","0.941","0.943","0.929","254908","25864260.5","1.49"
"2024-04-30","0.939","0.943","0.949","0.938","269789","27529702.5","1.17"
"2024-05-06","0.943","0.952","0.953","0.942","243141","24934488.1","1.17"
"2024-05-07","0.952","0.952","0.953","0.947","199117","20422025.4","0.63"
"2024-05-08","0.952","0.954","0.958","0.951","256850","26503900.8","0.74"
"2024-05-09","0.954","0.96","0.963","0.954","241546","25020775.7","0.94"
"2024-05-10","0.959","0.967","0.967","0.956","238780","24740824.8","1.15"
"2024-05-13","0.966","0.969","0.97","0.956","221770","23116273.991","1.45"
"2024-05-14","0.964","0.966","0.968","0.961","214258","22311052.792","0.72"
"2024-05-15","0.964","0.964","0.972","0.961","195472","20408372.626","1.14"
"2024-05-16","0.964","0.967","0.973","0.964","250914","26208992.944","0.93"
"2024-05-17","0.967","0.979","0.979","0.965","240908","25174349.424","1.45"
"2024-05-20","0.975","0.989","0.991","0.975","209864","22248715.07","1.63"
"2024-05-21","0.989","0.989","0.993","0.985","333722","35575711.655","0.81"
"2024-05-22","0.99","0.99","1","0.99","206944","22194609.316","1.01"
"2024-05-23","0.984","0.976","0.987","0.976","203140","21464850.639","1.11"
"2024-05-24","0.977","0.974","0.987","0.974","194152","20524467.4","1.33"
"2024-05-27","0.974","0.99","0.99","0.974","184948","19614059.155","1.64"
"2024-05-28","0.989","0.984","0.991","0.984","137008","14579626.066","0.71"
